site,Y,X
CT6734,-8.871482,-63.898747
CT10324,-9.902227,-62.764196
CT10173,-9.841891,-62.586535
CT9710,-9.736183,-62.442562
CT9562,-9.703137,-62.171029
CT9875,-9.751225,-62.013857
CT8483,-9.343348,-61.904647
CT8329,-9.333273,-61.84527
CT8015,-9.22929,-62.022497
CT7394,-9.055839,-62.090179
CT6928,-8.927633,-62.118921
CT6581,-8.80376,-63.8102
CT9687,-9.7395,-63.545587
CT10306,-9.912016,-63.600321
CT9683,-9.718552,-63.70959
CT9217,-9.603185,-63.762374
CT9218,-9.612824,-63.706438
CT9058,-9.565801,-63.930752
CT10143,-9.879528,-63.947494
CT10297,-9.927174,-63.996438
CT9365,-9.65356,-64.097461
CT9053,-9.533915,-64.162257
CT8742,-9.456577,-64.222077
CT7967,-9.253431,-64.223232
CT6114,-8.693201,-63.900377
CT10621,-9.992041,-63.351525
CT10782,-10.046244,-63.086972
CT11099,-10.121765,-62.782292
CT7870,-9.167397,-61.586956
CT8029,-9.219014,-61.40938
CT9260,-9.589537,-61.826461
CT8945,-9.474649,-61.932759
CT9096,-9.569373,-62.221249
CT8940,-9.513886,-62.250395
CT8631,-9.403248,-62.229341
CT8473,-9.342569,-62.351524
CT11260,-10.187362,-62.473356
CT11106,-10.119008,-62.448596
CT6729,-8.85503,-64.10552
PEC01,-13.328052,-61.957745
PEC02,-13.336015,-61.976232
PEC03,-13.400532,-61.874239
PEC04,-13.398672,-61.892351
PEC05,-13.420222,-61.886192
PEC06,-13.423454,-61.908666
PEC07,-13.477111,-61.836568
PEC08,-13.494269,-61.839595
PEC09,-13.480659,-61.861692
PEC10,-13.50243,-61.863907
PEC11,-13.304233,-62.020189
PEC12,-13.322405,-62.015363
PEC13,-13.337222,-61.999239
PEC14,-13.357587,-61.988522
PEC15,-13.373448,-61.952899
PEC16,-13.383149,-61.914761
PEC17,-13.354292,-61.943432
PEC18,-13.368613,-61.902123
PEC19,-13.431714,-61.854246
PEC20,-13.438751,-61.878433
PEC21,-13.245876,-62.09523
PEC22,-13.277738,-62.072257
PEC23,-13.129061,-61.542593
PEC24,-13.140515,-61.55007
PEC25,-13.140471,-61.567044
PEC26,-13.158645,-61.548916
PEC27,-13.158871,-61.569538
PEC28,-13.154297,-61.589682
PEC29,-13.176212,-61.555549
PEC30,-13.176448,-61.575988
PEC31,-13.139837,-61.60366
PEC32,-13.141492,-61.621968
PEC33,-13.157773,-61.608784
PEC34,-13.176868,-61.598488
PEC35,-13.176573,-61.618426
PEC36ex,-13.15889,-61.630611
PEC37,-13.1578,-61.629656
PEC38,-13.196933,-61.635785
PEC39,-13.175536,-61.638491
PEC40,-13.174757,-61.65725
PEC41,-13.194809,-61.655656
PEC42,-13.194307,-61.676264
PEC43,-13.156716,-61.650596
PEC44ex,-13.097769,-61.518375
PEC45,-13.098671,-61.519575
PEC46,-13.1151,-61.478577
PEC47,-13.106965,-61.49504
PEC48,-13.205814,-61.222646
PEC49,-13.212946,-61.24188
PEC50,-13.186042,-61.25645
PEC51,-13.201041,-61.300361
PEC52,-13.180778,-61.301476
PEC53,-13.183197,-61.325344
PEC54,-13.164473,-61.329039
PEC55,-13.152681,-61.353665
PEC56,-13.143332,-61.371818
PEC57,-13.138232,-61.42327
PEC58,-13.139106,-61.64237
PEC59,-13.122527,-61.628758
PEC60,-13.109039,-61.628237
PEC61,-13.165451,-61.673907
PEC62ex,-13.168733,-61.672825
PEC63,-13.213568,-61.717041
PEC64,-13.234634,-61.7183
PEC65,-13.198664,-61.760093
PEC66,-13.208754,-61.739573
PEC67,-13.180193,-61.71142
PEC68,-13.210335,-61.687156
PEC69,-13.194477,-61.698435
PEC70,-13.13267,-61.585005
PEC71,-13.121771,-61.56171
PEC72,-13.149847,-61.671392
PEC73,-13.120111,-61.515561
PEC74,-13.109562,-61.544524
PEC75,-13.158034,-61.657016
PEC76,-13.121262,-61.45486
PEC77,-13.121179,-61.450762
CAMERA RESERVA,-12.394025,-63.450661
RBG00,-12.549831,-63.435928
RBG01,-12.302387,-63.395956
RBG02,-12.305598,-63.367057
RBG03,-12.290111,-63.378576
RBG04,-12.322849,-63.395446
RBG05,-12.341993,-63.409586
RBG06,-12.358927,-63.434746
RBG07,-12.339951,-63.390565
RBG08,-12.358454,-63.416588
RBG09,-12.362012,-63.455437
RBG10,-12.376269,-63.468224
RBG11,-12.378171,-63.449174
RBG12,-12.394347,-63.458255
RBG13,-12.357944,-63.396898
RBG14,-12.393418,-63.433819
RBG15,-12.411407,-63.454623
RBG16,-12.411974,-63.434189
RBG17,-12.307881,-63.298836
RBG18,-12.293413,-63.278128
RBG19,-12.309998,-63.278234
RBG20,-12.297349,-63.262923
RBG21,-12.303438,-63.346578
RBG22,-12.29426,-63.315296
RBG23,-12.308763,-63.321249
RBG24,-12.322012,-63.314734
RBG25,-12.332126,-63.297824
RBG26,-12.334778,-63.325406
RBG27,-12.346984,-63.313226
RBG28,-12.347702,-63.287797
RBG29,-12.314524,-63.336543
RBG30,-12.301138,-63.244523
RBG31,-12.317907,-63.236609
RBG32,-12.335155,-63.239459
RBG33,-12.334878,-63.220402
RBG34,-12.317431,-63.25571
RBG35,-12.326922,-63.276976
RBG36,-12.286028,-63.233666
RBG37,-12.303103,-63.22502
RBG38,-12.320746,-63.376997
RBG39,-12.340336,-63.370823
RBG40,-12.318994,-63.360404
RBG41,-12.556786,-63.439165
RBG42,-12.540374,-63.431624
RBG43,-12.568537,-63.425028
RBG44,-12.550222,-63.414319
RBG45,-12.553224,-63.39196
RBG46,-12.557167,-63.457458
RBG47,-12.555819,-63.475403
RBG48,-12.539097,-63.448927
RBG49,-12.526233,-63.423374
RBG50,-12.523247,-63.437899
RBG51,-12.516248,-63.428321
RBG53,-12.521657,-63.448699
RBG54,-12.538747,-63.399795
RBG55,-12.528673,-63.4634
RBG60,-12.568403,-63.21356
RBG61,-12.568749,-63.232696
RBG63,-12.570261,-63.249634
RBG64,-12.555319,-63.258513
RBG65,-12.55408,-63.24052
RBG66,-12.549829,-63.226998
RBG67,-12.551489,-63.205205
RBG68,-12.570982,-63.193927
RBG69,-12.535378,-63.209463
RBG70,-12.535981,-63.230252
RBG71,-12.536694,-63.245449
RBG72,-12.537878,-63.263629
RBG73,-12.5241,-63.220989
RBG74,-12.553639,-63.186505
RBG75,-12.553764,-63.273438
RBG76,-12.525522,-63.255306
RBG77,-12.521326,-63.237632
RBG80,-12.555822,-63.308208
RBG81,-12.541601,-63.315
RBG82,-12.554874,-63.288046
RBG83,-12.56485,-63.264215
RBG84,-12.632989,-63.397738
